level_0,index,geocoder_status,place_id,types,from_a,to_b,distance_km,distance_m,duration_h,duration_m,start_location,end_location
0,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Abaújvár, Kovács út 25, 3898 Hungary",59.4 km,59394,1 hour 2 mins,61.8,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.531509, 'lng': 21.3121719}"
3,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","79A, 076 33 Slovenské Nové Mesto, Slovakia",25.0 km,24979,21 mins,21,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.4255193, 'lng': 21.6571488}"
0,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Pusztafalu, Unnamed Road, 3995 Hungary",25.4 km,25410,38 mins,37.8,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.5548592, 'lng': 21.5007301}"
0,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","3686, 076 31 Streda nad Bodrogom, Slovakia",39.8 km,39807,37 mins,37.2,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.3491367, 'lng': 21.7385933}"
1,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Pácin, Európa u. 7, 3964 Hungary",46.4 km,46409,42 mins,41.4,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.3344578, 'lng': 21.8294407}"
2,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Milhosť 124, 044 58 Milhosť, Slovakia",58.2 km,58206,56 mins,56.4,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.53163, 'lng': 21.2539951}"
5,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Milhosť 123, 044 58 Milhosť, Slovakia",71.8 km,71799,1 hour 2 mins,61.8,"{'lat': 48.6285584, 'lng': 21.71556}","{'lat': 48.5324485, 'lng': 21.2521081}"
6,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","3342, 044 11 Trstené pri Hornáde, Slovakia",47.9 km,47917,48 mins,48,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.55945939999999, 'lng': 21.3321121}"
7,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","3416, 044 11 Skároš, Slovakia",48.2 km,48166,48 mins,47.4,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.5635743, 'lng': 21.3956365}"
8,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Unnamed Road, 044 17 Slanská Huta, Slovakia",27.2 km,27166,45 mins,45,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.5605553, 'lng': 21.4972528}"
9,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Športová 183, 076 14 Michaľany, Slovakia",18.8 km,18808,19 mins,19.2,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.5093826, 'lng': 21.6117573}"
10,0,OK,ChIJObkMbNcqOUcRaCINTrt2RYI,locality,"075 01 Trebišov, Slovakia","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",28.0 km,27986,25 mins,24.6,"{'lat': 48.62854799999999, 'lng': 21.7154836}","{'lat': 48.4003727, 'lng': 21.666996}"
