y,mm,var,dim,dd,ksk,ke,ks,tv,sk_hobo,sk_hobo_core
2017,1,Number of nights spent by visitors,Accommodation establishments in total,20170101,40043,20577,2598,954,8043,1776
2017,2,Number of nights spent by visitors,Accommodation establishments in total,20170201,48529,24000,2506,1204,9236.7,1855
2017,3,Number of nights spent by visitors,Accommodation establishments in total,20170301,51888,29152,4529,1575,11752,3052
2017,4,Number of nights spent by visitors,Accommodation establishments in total,20170401,55301,30191,3571,1698,11820,2634.5
2017,5,Number of nights spent by visitors,Accommodation establishments in total,20170501,65719,34733,4366,1960,13686.3,3163
2017,6,Number of nights spent by visitors,Accommodation establishments in total,20170601,71975,36945,5134,1788,14622.3,3461
2017,7,Number of nights spent by visitors,Accommodation establishments in total,20170701,103440,30788,9880,4218,14962,7049
2017,8,Number of nights spent by visitors,Accommodation establishments in total,20170801,102434,33246,8039,3568,14951,5803.5
2017,9,Number of nights spent by visitors,Accommodation establishments in total,20170901,70167,36608,5991,1935,14844.7,3963
2017,10,Number of nights spent by visitors,Accommodation establishments in total,20171001,63141,36623,5515,2303,14813.7,3909
2017,11,Number of nights spent by visitors,Accommodation establishments in total,20171101,50100,30545,4183,1575,12101,2879
2017,12,Number of nights spent by visitors,Accommodation establishments in total,20171201,39753,24317,2280,1127,9241.3,1703.5
2018,1,Number of nights spent by visitors,Accommodation establishments in total,20180101,38521,22753,2140,1045,8646,1592.5
2018,2,Number of nights spent by visitors,Accommodation establishments in total,20180201,50914,26877,2680,1087,10214.7,1883.5
2018,3,Number of nights spent by visitors,Accommodation establishments in total,20180301,50616,31612,3274,NULL,17443,3274
2018,4,Number of nights spent by visitors,Accommodation establishments in total,20180401,57917,36024,3680,2045,13916.3,2862.5
2018,5,Number of nights spent by visitors,Accommodation establishments in total,20180501,72048,41291,4092,2336,15906.3,3214
2018,6,Number of nights spent by visitors,Accommodation establishments in total,20180601,82787,39702,8156,2603,16820.3,5379.5
2018,7,Number of nights spent by visitors,Accommodation establishments in total,20180701,113605,36087,7527,4017,15877,5772
2018,8,Number of nights spent by visitors,Accommodation establishments in total,20180801,115569,39319,9120,4998,17812.3,7059
2018,9,Number of nights spent by visitors,Accommodation establishments in total,20180901,74595,36762,4723,3314,14933,4018.5
2018,10,Number of nights spent by visitors,Accommodation establishments in total,20181001,67597,41189,3855,2680,15908,3267.5
2018,11,Number of nights spent by visitors,Accommodation establishments in total,20181101,55703,36116,3134,1706,13652,2420
2018,12,Number of nights spent by visitors,Accommodation establishments in total,20181201,50207,29477,4883,1788,12049.3,3335.5
2019,1,Number of nights spent by visitors,Accommodation establishments in total,20190101,50664,29227,2076,1163,10822,1619.5
2019,2,Number of nights spent by visitors,Accommodation establishments in total,20190201,61303,34909,3812,1374,13365,2593
2019,3,Number of nights spent by visitors,Accommodation establishments in total,20190301,58950,38658,3093,1754,14501.7,2423.5
2019,4,Number of nights spent by visitors,Accommodation establishments in total,20190401,66933,40698,4547,1698,15647.7,3122.5
2019,5,Number of nights spent by visitors,Accommodation establishments in total,20190501,101804,61808,5407,3352,23522.3,4379.5
2019,6,Number of nights spent by visitors,Accommodation establishments in total,20190601,106481,59776,7893,3143,23604,5518
2019,7,Number of nights spent by visitors,Accommodation establishments in total,20190701,147286,53181,15177,4771,24376.3,9974
2019,8,Number of nights spent by visitors,Accommodation establishments in total,20190801,144307,52369,14024,4781,23724.7,9402.5
2019,9,Number of nights spent by visitors,Accommodation establishments in total,20190901,91299,51507,6115,2639,20087,4377
2019,10,Number of nights spent by visitors,Accommodation establishments in total,20191001,91512,55507,8180,2339,22008.7,5259.5
2019,11,Number of nights spent by visitors,Accommodation establishments in total,20191101,73857,45278,6245,2314,17945.7,4279.5
2019,12,Number of nights spent by visitors,Accommodation establishments in total,20191201,61449,37662,3518,1943,14374.3,2730.5
2020,1,Number of nights spent by visitors,Accommodation establishments in total,20200101,55490,31920,3045,1520,12161.7,2282.5
2020,2,Number of nights spent by visitors,Accommodation establishments in total,20200201,62746,34810,4628,1297,13578.3,2962.5
2020,3,Number of nights spent by visitors,Accommodation establishments in total,20200301,28136,17676,2401,707,6928,1554
2020,4,Number of nights spent by visitors,Accommodation establishments in total,20200401,4014,3138,NULL,206,1672,206
2020,5,Number of nights spent by visitors,Accommodation establishments in total,20200501,15079,7311,1833,522,3222,1177.5
2020,6,Number of nights spent by visitors,Accommodation establishments in total,20200601,33374,14599,3750,1944,6764.3,2847
2020,7,Number of nights spent by visitors,Accommodation establishments in total,20200701,106343,33388,6869,3623,14626.7,5246
2020,8,Number of nights spent by visitors,Accommodation establishments in total,20200801,126783,35910,12009,5474,17797.7,8741.5
2020,9,Number of nights spent by visitors,Accommodation establishments in total,20200901,58597,26470,5048,2668,11395.3,3858
2020,10,Number of nights spent by visitors,Accommodation establishments in total,20201001,24802,15000,NULL,1259,8129.5,1259
2020,11,Number of nights spent by visitors,Accommodation establishments in total,20201101,17080,10787,1430,652,4289.7,1041
2020,12,Number of nights spent by visitors,Accommodation establishments in total,20201201,13395,9642,472,410,3508,441
2021,1,Number of nights spent by visitors,Accommodation establishments in total,20210101,4311,2738,409,102,1083,255.5
2021,2,Number of nights spent by visitors,Accommodation establishments in total,20210201,6576,4108,475,275,1619.3,375
2021,3,Number of nights spent by visitors,Accommodation establishments in total,20210301,8270,4510,882,377,1923,629.5
2021,4,Number of nights spent by visitors,Accommodation establishments in total,20210401,10249,4573,1419,628,2206.7,1023.5
2021,5,Number of nights spent by visitors,Accommodation establishments in total,20210501,20164,11457,2636,1276,5123,1956
2021,6,Number of nights spent by visitors,Accommodation establishments in total,20210601,42641,20733,5114,1848,9231.7,3481
2021,7,Number of nights spent by visitors,Accommodation establishments in total,20210701,106524,32897,13450,4310,16885.7,8880
2021,8,Number of nights spent by visitors,Accommodation establishments in total,20210801,120314,38041,14277,5309,19209,9793
2021,9,Number of nights spent by visitors,Accommodation establishments in total,20210901,NULL,NULL,NULL,NULL,NULL,NULL
2021,10,Number of nights spent by visitors,Accommodation establishments in total,20211001,NULL,NULL,NULL,NULL,NULL,NULL
2021,11,Number of nights spent by visitors,Accommodation establishments in total,20211101,NULL,NULL,NULL,NULL,NULL,NULL
2021,12,Number of nights spent by visitors,Accommodation establishments in total,20211201,NULL,NULL,NULL,NULL,NULL,NULL
