y,mm,var,muni,dim,sum,dim-2,sum-2,dim-3,sum-3
2017,1,Number of visitors total,Košice,Visitors total,8170.0,Domestic visitors,888.0,Foreign visitors,279.0
2017,2,Number of visitors total,Košice,Visitors total,11133.0,Domestic visitors,2116.0,Foreign visitors,917.0
2017,3,Number of visitors total,Košice,Visitors total,13567.0,Domestic visitors,1578.0,Foreign visitors,616.0
2017,4,Number of visitors total,Košice,Visitors total,11648.0,Domestic visitors,1031.0,Foreign visitors,434.0
2017,5,Number of visitors total,Košice,Visitors total,11972.0,Domestic visitors,NULL,Foreign visitors,NULL
2017,6,Number of visitors total,Košice,Visitors total,15890.0,Domestic visitors,9113.0,Foreign visitors,6518.0
2017,7,Number of visitors total,Košice,Visitors total,12843.0,Domestic visitors,805.0,Foreign visitors,487.0
2017,8,Number of visitors total,Košice,Visitors total,14436.0,Domestic visitors,812.0,Foreign visitors,595.0
2017,9,Number of visitors total,Košice,Visitors total,14799.0,Domestic visitors,NULL,Foreign visitors,NULL
2017,10,Number of visitors total,Košice,Visitors total,15513.0,Domestic visitors,1307.0,Foreign visitors,758.0
2017,11,Number of visitors total,Košice,Visitors total,13057.0,Domestic visitors,1243.0,Foreign visitors,660.0
2017,12,Number of visitors total,Košice,Visitors total,11787.0,Domestic visitors,7248.0,Foreign visitors,4343.0
2018,1,Number of visitors total,Košice,Visitors total,8599.0,Domestic visitors,5161.0,Foreign visitors,3438.0
2018,2,Number of visitors total,Košice,Visitors total,7882.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,3,Number of visitors total,Košice,Visitors total,9367.0,Domestic visitors,3917.0,Foreign visitors,3790.0
2018,4,Number of visitors total,Košice,Visitors total,9072.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,5,Number of visitors total,Košice,Visitors total,12822.0,Domestic visitors,1750.0,Foreign visitors,792.0
2018,6,Number of visitors total,Košice,Visitors total,9513.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,7,Number of visitors total,Košice,Visitors total,10700.0,Domestic visitors,940.0,Foreign visitors,879.0
2018,8,Number of visitors total,Košice,Visitors total,11871.0,Domestic visitors,1545.0,Foreign visitors,831.0
2018,9,Number of visitors total,Košice,Visitors total,9279.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,10,Number of visitors total,Košice,Visitors total,10146.0,Domestic visitors,NULL,Foreign visitors,NULL
2018,11,Number of visitors total,Košice,Visitors total,8759.0,Domestic visitors,5068.0,Foreign visitors,3691.0
2018,12,Number of visitors total,Košice,Visitors total,8074.0,Domestic visitors,4694.0,Foreign visitors,3380.0
2019,1,Number of visitors total,Košice,Visitors total,6021.0,Domestic visitors,NULL,Foreign visitors,NULL
2019,2,Number of visitors total,Košice,Visitors total,9090.0,Domestic visitors,1231.0,Foreign visitors,420.0
2019,3,Number of visitors total,Košice,Visitors total,13659.0,Domestic visitors,3663.0,Foreign visitors,1450.0
2019,4,Number of visitors total,Košice,Visitors total,10356.0,Domestic visitors,1374.0,Foreign visitors,492.0
2019,5,Number of visitors total,Košice,Visitors total,12758.0,Domestic visitors,6025.0,Foreign visitors,6733.0
2019,6,Number of visitors total,Košice,Visitors total,19242.0,Domestic visitors,10063.0,Foreign visitors,9179.0
2019,7,Number of visitors total,Košice,Visitors total,18014.0,Domestic visitors,9139.0,Foreign visitors,8875.0
2019,8,Number of visitors total,Košice,Visitors total,18113.0,Domestic visitors,8660.0,Foreign visitors,9453.0
2019,9,Number of visitors total,Košice,Visitors total,18081.0,Domestic visitors,9290.0,Foreign visitors,8791.0
2019,10,Number of visitors total,Košice,Visitors total,19610.0,Domestic visitors,11860.0,Foreign visitors,7750.0
2019,11,Number of visitors total,Košice,Visitors total,15597.0,Domestic visitors,9602.0,Foreign visitors,5995.0
2019,12,Number of visitors total,Košice,Visitors total,14626.0,Domestic visitors,9323.0,Foreign visitors,5303.0
2020,1,Number of visitors total,Košice,Visitors total,7457.0,Domestic visitors,NULL,Foreign visitors,NULL
2020,2,Number of visitors total,Košice,Visitors total,7524.0,Domestic visitors,4299.0,Foreign visitors,3225.0
2020,3,Number of visitors total,Košice,Visitors total,3470.0,Domestic visitors,2288.0,Foreign visitors,1182.0
2020,4,Number of visitors total,Košice,Visitors total,524.0,Domestic visitors,516.0,Foreign visitors,8.0
2020,5,Number of visitors total,Košice,Visitors total,1355.0,Domestic visitors,336.0,Foreign visitors,31.0
2020,6,Number of visitors total,Košice,Visitors total,3423.0,Domestic visitors,NULL,Foreign visitors,NULL
2020,7,Number of visitors total,Košice,Visitors total,10000.0,Domestic visitors,6865.0,Foreign visitors,1847.0
2020,8,Number of visitors total,Košice,Visitors total,10729.0,Domestic visitors,6906.0,Foreign visitors,2176.0
2020,9,Number of visitors total,Košice,Visitors total,7842.0,Domestic visitors,5175.0,Foreign visitors,1870.0
2020,10,Number of visitors total,Košice,Visitors total,3783.0,Domestic visitors,2678.0,Foreign visitors,644.0
2020,11,Number of visitors total,Košice,Visitors total,2666.0,Domestic visitors,1922.0,Foreign visitors,403.0
2020,12,Number of visitors total,Košice,Visitors total,2112.0,Domestic visitors,75.0,Foreign visitors,34.0
2021,1,Number of visitors total,Košice,Visitors total,874.0,Domestic visitors,46.0,Foreign visitors,21.0
2021,2,Number of visitors total,Košice,Visitors total,1391.0,Domestic visitors,1132.0,Foreign visitors,259.0
2021,3,Number of visitors total,Košice,Visitors total,1319.0,Domestic visitors,NULL,Foreign visitors,NULL
2021,4,Number of visitors total,Košice,Visitors total,1622.0,Domestic visitors,NULL,Foreign visitors,NULL
2021,5,Number of visitors total,Košice,Visitors total,5410.0,Domestic visitors,4358.0,Foreign visitors,629.0
2021,6,Number of visitors total,Košice,Visitors total,6199.0,Domestic visitors,NULL,Foreign visitors,NULL
2021,7,Number of visitors total,Košice,Visitors total,10173.0,Domestic visitors,7980.0,Foreign visitors,2193.0
2021,8,Number of visitors total,Košice,Visitors total,12449.0,Domestic visitors,NULL,Foreign visitors,NULL
2021,9,Number of visitors total,Košice,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,10,Number of visitors total,Košice,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,11,Number of visitors total,Košice,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
2021,12,Number of visitors total,Košice,Visitors total,NULL,Domestic visitors,NULL,Foreign visitors,NULL
