"index","project_id","name_en","name_hu","name_sk","acro","call_id","po","so","p_start","p_end","p_status","p_tbudget","p_sub","p_type","lead_p","lead_p_adr","lead_p_b","p2","p2a","p2b","p3","p3a","p3b","p4","p4a","p4b","p5","p5a","p5b","p6","p6a","p6b","p7","p7a","p7b","p8","p8a","p8b","p9","p9a","p9b","p10","p10a","p10b","p11","p11a","p11b","p12","p12a","p12b","p13","p13a","p13b","p14","p14a","p14b","p15","p15a","p15b","p16","p16a","p16b","li1","li1a","li2","li2a","li3","li3a","li4","li4a","li5","li5a","li6","li6a","li7","li7a","li8","li8a","li9","li9a","li10","li10a","li11","li11a","li12","li12a","li13","li13a","li14","li14.1","li15","li15a","li16","li16a","li17","li17a","li18","li18a","li19","li19a","li20","li20a","li21","li21a","li22","li22a","li23","li23a","li24","li24a","li25","li25a","li26","li26a","li27","li27a","li28","li28a","li29","li29a"
"1","SKHU/1601/4.1/052","Development of webGIS platform based on big-geodata for the Tokaj Wine Region foster cross-border collaboration","A Tokaji Borvidék webGIS felületének fejlesztése a határmenti együttműködés előmozdítása érdekében","Vývoj platformy webGIS založenej na veľkých geodátach pre Tokajský vínny región podporuje cezhraničnú spoluprácu","TOKAJGIS","SKHU/1601","PA4 | Enhancing cooperation of public authorities","SO4.1 | Improving the level of cross border inter-institutional cooperation and broadening cross border cooperation between citizens.","2017-09-30 00:00:00","2019-07-31 00:00:00","Closed","427447.4","363330.29","Soft","Eszterházy Károly Egyetem","3300 Eger, Eszterházy tér 1.","239534.25","Univerzita Pavla Jozefa Šafárika v Košiciach","04180 Košice, Šrobárova 2","123796.04",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18","SKHU/1601/4.1/187","Logistic support system for flood crisis management in the Hernád/Hornád catchment","Árvízi-logisztikai döntéstámogató rendszer fejlesztése a Hernád vízgyűjtőben","Vývoj rozhodovacieho podporného systému pre ochranu pred povodňami","FLOODRESC","SKHU/1601","PA4 | Enhancing cooperation of public authorities","SO4.1 | Improving the level of cross border inter-institutional cooperation and broadening cross border cooperation between citizens.","2017-11-01 00:00:00","2019-10-31 00:00:00","Closed","450160.9","382636.76","Soft","Miskolci Egyetem","3515	Miskolc,	Miskolc-Egyetemváros 1.","140186.25","Technická univerzita v Košiciach","04200	Košice	Letná 9","108945.35","Vysoká škola bezpečnostného manažérstva v Košiciach","04001	Košice	Kukučínova 17","63746.68","Holocén Természetvédelmi Egyesület","3525	Miskolc,	Kossuth u. 13.","41742.48","Borsod-Abaúj-Zemplén Megyei Katasztrófavédelmi Igazgatóság","3525	Miskolc,	Dózsa György 15.","28016",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","SKHU/1601/4.1/210","""Smart Communities"" Virtual Education and Research and Development and Innovation Network in the Slovakian - Hungarian border region","""Smart Communities"" Virtual Education and Research and Development and Innovation Network in the Slovakian - Hungarian border region","""Smart Communities"" Virtual Education and Research and Development and Innovation Network in the Slovakian - Hungarian border region","Smart Communities","SKHU/1601","PA4 | Enhancing cooperation of public authorities","SO4.1 | Improving the level of cross border inter-institutional cooperation and broadening cross border cooperation between citizens.","2017-05-01 00:00:00","2019-04-30 00:00:00","Closed","453074.03","385112.91","Soft","Interindustria Tudásközpont Alapítvány","3515	Salgótarján,	Úttörők útja 6.","111367","e-Talentum","04200	Fil'akovo	Farská lúka 38","51340","Szent István Egyetem","04001	Gödöllő,	Páter Károly u. 1.","50999.44","Technická univerzita v Košiciach","04200	Košice	Letná 9","48421.18","MTA Közgazdaság- és Regionális Tudományi Kutatóközpont","9022	Győr,	Liszt Ferenc utca 10.","37445.54","Közösség a Megújuló Vidékért Egyesület","2619	Legénd,	Táncsics M. u. 6/1.","31025","ASTRA - Zduženie pre inovácie a rozvoj ","04314	Košice	Letná 27","30859.25","Gymnázium - Gimnázium Fiľakovo","98615	Fiľakovo	Námestie padlých hrdinov 2","23655.5",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22","SKHU/1601/4.1/278","Forest Based Education and Training ","Környezeti nevelés és képzés erdei iskolákban","Vzdelávanie v lese","FORBEST","SKHU/1601","PA4 | Enhancing cooperation of public authorities","SO4.1 | Improving the level of cross border inter-institutional cooperation and broadening cross border cooperation between citizens.","2017-09-01 00:00:00","2018-12-31 00:00:00","Closed","199016.85","169164.32","Investment","Szirmabesenyő Nagyközség Önkormányzata","3711	Szirmabesenyő,	Kossuth u.5","86025.95","Mestské lesy Košice, a.s.","04001	Košice/Košice-Sever	Južná trieda 11","83138.37",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Szirmabesenyő","3711 Szirmabesenyő, Déryné utca 24.","Košice","Čermeľské údolie Nr. 14, 04001 Košice, Slovakia",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"44","SKHU/1601/1.1/051","Slovakian and Hungarian Zoos for the Conservation of Native Fauna along the border regions","Slovakian and Hungarian Zoos for the Conservation of Native Fauna along the border regions","Slovakian and Hungarian Zoos for the Conservation of Native Fauna along the border regions","ZOO4NAT","SKHU/1601","PA1 | Protecting natural and cultural heritage","SO1.1 | To increase the attractiveness of the border area","2018-01-01 00:00:00","2019-10-31 00:00:00","Closed","1215082.2","1032819.86","Investment","Fővárosi Állat- és Növénykert","Budapest, Állatkerti krt. 6-12.	1146","573198.34","Zoologická záhrada Košice","Košice-Kavečany, 	Široká 31	040 06  ","459621.52",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Budapest","Budapest, Állatkerti krt. 6-12., 1146","Košice","Košice-Kavečany, 040 06  Široká 31",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"47","SKHU/1601/1.1/198","ABA GREENWAY – „GREEN EXPERIENCE” - Realization of Hidasnémeti, Perín-Chym, Kechnec, Abaújvár, Telkibánya cross- border greenway","ABA GREENWAY – „GREEN EXPERIENCE” - Realization of Hidasnémeti, Perín-Chym, Kechnec, Abaújvár, Telkibánya cross- border greenway","ABA GREENWAY – „GREEN EXPERIENCE” - Realization of Hidasnémeti, Perín-Chym, Kechnec, Abaújvár, Telkibánya cross- border greenway","GREX","SKHU/1601","PA1 | Protecting natural and cultural heritage","SO1.1 | To increase the attractiveness of the border area","2018-11-01 00:00:00","2021-10-31 00:00:00","Closed","2964024.66","2519420.94","Investment","Hidasnémeti Község Önkormányzata","Hidasnémeti,	Petőfi Sándor út 11.	3876","301868.33","Obec Kechnec","Kechnec,	Kechnec 19	044 58","836734.05","Telkibánya Község Önkormányzata","Telkibánya,	Nagy út 2.	3896","738230.88","Obec Perín-Chym","Perín-Chym,	Perín 180	044 74","489797.77","Abaújvár Község Önkormányzata","Abaújvár,	Petőfi Sándor út 4.	3898","152789.91",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Hidasnémeti",NULL,"Telkibánya",NULL,"Abaújvár",NULL,"Kechnec",NULL,"Perín-Chym",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"48","SKHU/1601/1.1/206","Castle to castle","Castle to castle","Castle to castle","CtoC","SKHU/1601","PA1 | Protecting natural and cultural heritage","SO1.1 | To increase the attractiveness of the border area","2018-03-01 00:00:00","2020-12-31 00:00:00","Closed","2733242.21","2323255.86","Investment","Regéc Község Önkormányzata","Regéc,	Fő út 47.	3893","1602672.3","Obec Streda nad Bodrogom       ","Streda nad Bodrogom,  	Hlavná 174/391	076 31   ","296901.79","Veľký Kamenec      ","Veľký Kamenec,  	Veľký Kamenec 255   	076 36   ","14924.99","Veľká Ida","Veľká Ida,	Veľká Ida 42	044 55   ","408756.78",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Regéc","Regéc, Várhegy","Streda nad Bodrogom","Hlavná 391/174, 076 31 Streda nad Bodrogom","Veľký Kamenec","Veľký Kamenec 255, 076 36 Veľký Kamenec, ","Veľká Ida","Veľká Ida 42, 044 55 Veľká Ida",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"66","SKHU/1601/2.2.1/360","Establishing a Cross-border Community Bicycle Transport System on the settlements of Sátoraljaújhely, Zemplín and Viničky","Establishing a Cross-border Community Bicycle Transport System on the settlements of Sátoraljaújhely, Zemplín and Viničky","Establishing a Cross-border Community Bicycle Transport System on the settlements of Sátoraljaújhely, Zemplín and Viničky","Cross-Bike","SKHU/1601","PA2 | Enhancing cross-border mobility","SO2.2.1 | Improving cross-border public transport services","2019-01-01 00:00:00","2021-05-31 00:00:00","Closed","987591.61","839452.86","Investment","Sátoraljaújhely Város Önkormányzata","3980 Sátoraljaújhely, Kossuth Lajos tér 5.","630478.27","Obec Viničky","076 31 Obec Viničky, Tokajská cesta 191/5.","142125.55","Obec Zemplín","076 34 Zemplín, Obec Zemplín č. 49","66849.04",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"72","SKHU/1801/1.1/001","Cross-border HU-SK virtual tours","Cross-border HU-SK virtual tours","Cross-border HU-SK virtual tours","CBC Tours","SKHU/1801","PA1 | Protecting natural and cultural heritage","SO1.1 | To increase the attractiveness of the border area","2019-06-01 00:00:00","2020-11-30 00:00:00","Closed","377894","321209","Soft","Szabolcs-Szatmár-Bereg Megye Területfejlesztési és Környezetgazdálkodási Ügynökség Nonprofit Kft.","4400 Nyíregyháza, Benczúr tér 7.","29030","Novitech a.s.","040 01 Bratislava, Moyzesova 58.","89845","One PR Tanácsadó Kft.","2451 Ercsi, Rákóczi út 62.","87125","Intellexi Kft.","1027 Budapest, Kapás utca 48-50. 3. em. 5.","115209",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"75","SKHU/1802/3.1/003","Cserehát AP - Development of local + 2","Cserehát AP - Development of local + 2","Cserehát AP - Development of local + 2","SKHU Local+2","SKHU/1802","PA3 | Promoting employment","SO3.1 | Decreasing employment inequalities among the regions with a view to improving the level of employment within the programming region","2019-09-01 00:00:00","2021-08-31 00:00:00","Closed","1488815","1065899","Investment","TESZ-TEAM Kereskedelmi és Szolgáltató Kft","3876 Hidasnémeti, Kassai út 31.","931438","AGENTÚRA GES spol. spoločnosť s ručením obmedzeným ","04001 Košice, Námestie Laca Novomeského 13.","134461",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
