Question,SK HOBO (including Košice districts),HU HOBO (including Miskolc district)
Austria (2019),5102,2819
Austria (2020),1510,1345
Belarus (2019),1432,
Belarus (2020),275,
Canada (2019),6001,
Canada (2020),116,
China (2019),1089,1864
China (2020),149,431
Czechia (2019),43462,8993
Czechia (2020),16169,3024
France (2019),5316,
France (2020),983,
Germany (2019),26426,17514
Germany (2020),9517,8854
Israel (2019),3332,1731
Israel (2020),197,332
Italy (2019),7036,3510
Italy (2020),1821,1673
Japan (2019),3299,2056
Japan (2020),577,256
Latvia (2019),614,839
Latvia (2020),192,120
Lithuania (2019),1683,
Lithuania (2020),137,
Netherlands (2019),2798,
Netherlands (2020),657,
Norway (2019),1827,
Norway (2020),406,
Poland (2019),20930,34080
Poland (2020),5636,12151
Romania (2019),4500,26623
Romania (2020),3055,4980
Russia (2019),5336,3007
Russia (2020),728,1326
Serbia (2019),1449,1177
Serbia (2020),465,218
Slovenia (2019),2198,
Slovenia (2020),1255,
Spain (2019),3962,
Spain (2020),711,
Sweden (2019),2753,
Sweden (2020),398,
Switzerland (2019),3303,
Switzerland (2020),456,
Ukraine (2019),43781,11613
Ukraine (2020),8738,3233
United Kingdom (2019),8074,3714
United Kingdom (2020),1652,1038
United States (2019),9287,4550
United States (2020),1871,747
